Campaign_Name,Clicks,Payout
Boat Lifestyle [CPS] IN,9,0
Boat Lifestyle [CPS] IN,45,0
Boat Lifestyle [CPS] IN,44,0
Boat Lifestyle [CPS] IN,27,0
Boat Lifestyle [CPS] IN,74,0
Boat Lifestyle [CPS] IN,4,0
boAt-lifestyle.com CPS - India,2,0
boAt-lifestyle.com CPS - India,94,0
boAt-lifestyle.com CPS - India,50,0
Boddess.com CPA - India**,1,0
Boddess.com CPA - India**,1,0
Boddess.com CPA - India**,1,0
Bodybuilding,208,0
Bodybuilding,121,0
Bodybuilding,107,0
Bodybuilding,79,0
Bodybuilding,75,0
Bodybuilding,110,0
Bodybuilding,249,0
Bodybuilding,181,0
Bombay Shaving Company [CPS] IN,1,0
Boost Mobile - CPA,269,18.0178
Boost Mobile - CPA,4,0
Boost Mobile - CPA,4,0
Boost Mobile - CPA,128,0
Boost Mobile - CPA,123,0
Boost Mobile - CPA,2,0
Boost Mobile - CPA,2,0
Boost Mobile - CPA,16,0
Boost Mobile - CPA,16,0
Boost Mobile - CPA,72,0
Boost Mobile - CPA,72,0
Boost Mobile - CPA,536,0
Boost Mobile - CPA,536,0
Boost Mobile - CPA,147,0.4499
Boost Mobile - CPA,147,0.4499
Boost Mobile - CPA,103,0.1125
Boost Mobile - CPA,103,0.1125
Boost Mobile - CPA,88,0
Boost Mobile - CPA,88,0
Boost Mobile - CPA,128,0
Boost Mobile - CPA,128,0
Boost Mobile - CPA,40,0
Boost Mobile - CPA,40,0
Boost Mobile - CPA,47,1.7999
Boost Mobile - CPA,47,1.7999
Boost Mobile - CPA,73,0
Boost Mobile - CPA,73,0
Boost Mobile - CPA,114,0
Boost Mobile - CPA,114,0
Boultaudio.com CPS - India,224,0
Boultaudio.com CPS - India,50,0
Boultaudio.com CPS - India,36,0
Boultaudio.com CPS - India,34,0
Boultaudio.com CPS - India,4,0
Boultaudio.com CPS - India,5,0
Boultaudio.com CPS - India,4,0
Boultaudio.com CPS - India,4,0
Brillare [CPS] IN,4,0
Brillare [CPS] IN,6,0
Brillare [CPS] IN,4,0
Brillare [CPS] IN,6,0
Brillare [CPS] IN,6,0
Brillare [CPS] IN,6,0
Bubble,259,11.2
Bubble,6,0
Bubble,1,0
Bubble,1,0
Bubble,32,11.2
Bubble,106,0
Bubble,259,11.2
Bubble,405,22.4
Bubble,6,0
Bubble,1,0
Bubble,1,0
Bubble,32,11.2
Bubble,106,0
Buyagift,10,0
Buyagift,23,0
Buyagift,117,0
Buyagift,2,0
Buyagift,7,0
Buyagift,8,0
Buyagift,11,0
Buyagift,23,0
Buyagift,3,0
Buyagift,20,0
Buyagift,10,0
BuyWow [CPS] IN,2,0
BuyWow [CPS] IN,4,0
Calvin Klein HK,168,0
Calvin Klein HK,1494,0
Calvin Klein HK,1096,0
Calvin Klein HK,1118,0
Calvin Klein HK,1172,0
Calvin Klein HK,1029,0
Calvin Klein HK,885,0
Calvin Klein HK,26,0
Calvin Klein HK,1,0
Calvin Klein HK,2,0
Calvin Klein HK,1,0
Calvin Klein MY,1,0
Calvin Klein SG,1,0
Calvin Klein TW,1,0
Campus Sutra [CPS] IN,15,0
Campus Sutra [CPS] IN,20,0
Campus Sutra [CPS] IN,26,0
Campus Sutra [CPS] IN,32,0
Campus Sutra [CPS] IN,11,0
Campus Sutra [CPS] IN,3,0
Campus Sutra [CPS] IN,2,0
Campus Sutra [CPS] IN,24,0
Campus Sutra [CPS] IN,108,0
Campus Sutra [CPS] IN,15,0
Campus Sutra [CPS] IN,24,0
Campus Sutra [CPS] IN,157,0
Candere [CPS] IN,2,0
Candere [CPS] IN,8,0
Candere [CPS] IN,57,0
Candere [CPS] IN,236,0
Candere [CPS] IN,87,0
Candere [CPS] IN,4,0
Candere [CPS] IN,2,0
Candere [CPS] IN,4,0
Capezio,31,0
Capezio,23,0
Capezio,23,0
Capezio,22,0
Capezio,27,0
Capezio,16,0
Capresebags.com CPS - India,7,0
Carters CPS (Offline),461,0
Carters CPS (Offline),7,0
Carters CPS (Offline),7,0
Carters CPS (Offline),7,0
Carters CPS (Offline),7,0
Carters CPS (Offline),8,0
Carters CPS (Offline),8,0
Carters CPS (Offline),4,0
Carters CPS (Offline),4,0
Carters CPS (Offline),3,0
Carters CPS (Offline),3,0
