Campaign_Name,Clicks,Payout
Shopee Indonesia - CPS,4324,2.3228
Shopee Indonesia - CPS,4324,2.3228
Shopee Indonesia - CPS,3235,8.2351
Shopee Indonesia - CPS,3235,8.2351
Shopee Indonesia - CPS,3308,5.6757
Shopee Indonesia - CPS,3308,5.6757
Shopee Indonesia - CPS,3039,8.6652
Shopee Indonesia - CPS,3039,8.6652
Shopee Indonesia - CPS,2839,6.1867
Shopee Indonesia - CPS,2839,6.1867
Shopee SG - CPS,12220,49.232
Shopee SG - CPS,7473,53.0041
Shopee SG - CPS,6709,36.5358
Shopee SG - CPS,6709,36.5358
Shopee SG - CPS,6668,24.569
Shopee SG - CPS,4941,25.1282
Shopee SG - CPS,3413,10.365
Shopee SG - CPS,3413,10.365
Shopee SG - CPS,10574,35.4403
Shopee SG - CPS,10574,35.4403
Shopee SG - CPS,8655,45.6704
Shopee SG - CPS,8655,45.6704
Shopee SG - CPS,10119,52.0323
Shopee SG - CPS,10119,52.0323
Shopee SG - CPS,9071,22.1496
Shopee SG - CPS,9071,22.1496
Shopee SG - CPS,8595,33.0998
Shopee SG - CPS,8595,33.0998
Shopee SG - CPS,2774,11.0838
Shopee SG - CPS,2774,11.0838
Shopee SG - CPS,2427,8.7042
Shopee SG - CPS,2427,8.7042
Shopee SG - CPS,1645,5.1246
Shopee SG - CPS,1645,5.1246
Shopee SG - CPS,1753,37.2279
Shopee SG - CPS,1753,37.2279
Shopee SG - CPS,1907,11.993
Shopee SG - CPS,1907,11.993
Shopee SG - CPS,3078,0.293
Shopee SG - CPS,3078,0.293
Shopee TH - CPS,33160,72.848
Shopee TH - CPS,19940,65.255
Shopee TH - CPS,19035,38.4635
Shopee TH - CPS,19035,38.4635
Shopee TH - CPS,13343,33.1964
Shopee TH - CPS,18416,29.4902
Shopee TH - CPS,12882,10.2837
Shopee TH - CPS,12882,10.2837
Shopee TH - CPS,33163,49.9301
Shopee TH - CPS,33163,49.9301
Shopee TH - CPS,31702,46.2539
Shopee TH - CPS,31702,46.2539
